Classification	Sub-classification
Shoulder impingement/rotator cuff tendinitis/adhesive capsulitis	Shoulder
Shoulder impingement/rotator cuff tendinitis/adhesive capsulitis	adhesive capsulitis
Shoulder impingement/rotator cuff tendinitis/adhesive capsulitis	Calcific Tendinitis
Shoulder impingement/rotator cuff tendinitis/adhesive capsulitis	Rotator Cuff Syndrome
Shoulder impingement/rotator cuff tendinitis/adhesive capsulitis	Tendinitis
Shoulder impingement/rotator cuff tendinitis/adhesive capsulitis	impingement
Shoulder impingement/rotator cuff tendinitis/adhesive capsulitis	adhesive capsulitis
Shoulder impingement/rotator cuff tendinitis/adhesive capsulitis	A-C Joint Arthritis
Shoulder impingement/rotator cuff tendinitis/adhesive capsulitis	AC joint Hypertrophy ®
Shoulder impingement/rotator cuff tendinitis/adhesive capsulitis	Rotator Cuff Tendinopathy
Shoulder impingement/rotator cuff tendinitis/adhesive capsulitis	FROZEN SHOULDER(L)
Shoulder impingement/rotator cuff tendinitis/adhesive capsulitis	ROTATOR CUFF TENDINITIS(B);CERVICALSPONDYLOSIS+MPS
Shoulder impingement/rotator cuff tendinitis/adhesive capsulitis	Rotator Cuff Tendinitis(R)
Shoulder impingement/rotator cuff tendinitis/adhesive capsulitis	ROTATOR CUFF TENDINITIS®
CVA	Decondition S/P CS
CVA	CVA
CP/Cerebral Palsy	CP
CP/Cerebral Palsy	Cerebral Palsy
